Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
70,Entry short,2023-09-05 02:00,A_LONDON_BO_SHORT,1.07666,1,1.07666,0.002,0.18,0,0.002,0.18,-0.001,-0.05,0.01,0.00,2
71,Exit short,2023-09-07 08:00,A_LONDON_BO_SHORT_EXIT,1.06915,1,1.07106,0.002,0.18,0,0.002,0.18,-0.001,-0.07,0.01,0.00,4
71,Entry short,2023-09-07 04:00,A_LONDON_BO_SHORT,1.07106,1,1.07106,0.002,0.18,0,0.002,0.18,-0.001,-0.07,0.01,0.00,4
72,Exit long,2023-09-19 09:00,A_LONDON_BO_LONG_EXIT,1.06903,1,1.07006,-0.001,-0.10,0,0.002,0.16,-0.001,-0.10,0.01,0.00,3
72,Entry long,2023-09-19 06:00,A_LONDON_BO_LONG,1.07006,1,1.07006,-0.001,-0.10,0,0.002,0.16,-0.001,-0.10,0.01,0.00,3
73,Exit short,2023-09-22 08:00,A_LONDON_BO_SHORT_EXIT,1.06525,1,1.06384,-0.001,-0.13,0,0.0004,0.04,-0.001,-0.13,0.01,0.00,3
73,Entry short,2023-09-22 05:00,A_LONDON_BO_SHORT,1.06384,1,1.06384,-0.001,-0.13,0,0.0004,0.04,-0.001,-0.13,0.01,0.00,3
74,Exit short,2023-09-25 09:00,A_LONDON_BO_SHORT_EXIT,1.06166,1,1.06382,0.002,0.20,0,0.002,0.20,-0.001,-0.05,0.01,0.00,6
74,Entry short,2023-09-25 03:00,A_LONDON_BO_SHORT,1.06382,1,1.06382,0.002,0.20,0,0.002,0.20,-0.001,-0.05,0.01,0.00,6
75,Exit short,2023-09-26 03:00,A_LONDON_BO_SHORT_EXIT,1.05822,1,1.05715,-0.001,-0.10,0,0.0001,0.01,-0.001,-0.10,0.01,0.00,1
75,Entry short,2023-09-26 02:00,A_LONDON_BO_SHORT,1.05715,1,1.05715,-0.001,-0.10,0,0.0001,0.01,-0.001,-0.10,0.01,0.00,1
76,Exit short,2023-09-27 09:00,A_LONDON_BO_SHORT_EXIT,1.05336,1,1.05542,0.002,0.20,0,0.002,0.20,-0.0001,-0.01,0.02,0.00,3
76,Entry short,2023-09-27 06:00,A_LONDON_BO_SHORT,1.05542,1,1.05542,0.002,0.20,0,0.002,0.20,-0.0001,-0.01,0.02,0.00,3
77,Exit short,2023-09-28 03:00,A_LONDON_BO_SHORT_EXIT,1.05074,1,1.04954,-0.001,-0.11,0,0.0001,0.01,-0.001,-0.11,0.01,0.00,1
77,Entry short,2023-09-28 02:00,A_LONDON_BO_SHORT,1.04954,1,1.04954,-0.001,-0.11,0,0.0001,0.01,-0.001,-0.11,0.01,0.00,1
78,Exit long,2023-10-02 03:00,A_LONDON_BO_LONG_EXIT,1.05775,1,1.05896,-0.001,-0.11,0,0.0002,0.02,-0.001,-0.11,0.01,0.00,1
78,Entry long,2023-10-02 02:00,A_LONDON_BO_LONG,1.05896,1,1.05896,-0.001,-0.11,0,0.0002,0.02,-0.001,-0.11,0.01,0.00,1
