Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
68,Exit long,2025-06-17 08:00,TP_OR_SL,0.60634,1,0.60738,-0.001,-0.17,0,0.0004,0.07,-0.001,-0.17,0.03,0.00,1
68,Entry long,2025-06-17 07:00,NZDUSD_1100_LONG,0.60738,1,0.60738,-0.001,-0.17,0,0.0004,0.07,-0.001,-0.17,0.03,0.00,1
69,Exit long,2025-06-24 09:00,TP_OR_SL,0.60173,1,0.60315,-0.001,-0.24,0,0.0003,0.04,-0.001,-0.24,0.03,0.00,2
69,Entry long,2025-06-24 07:00,NZDUSD_1100_LONG,0.60315,1,0.60315,-0.001,-0.24,0,0.0003,0.04,-0.001,-0.24,0.03,0.00,2
70,Exit long,2025-07-18 09:00,TP_OR_SL,0.59913,1,0.59744,0.002,0.28,0,0.002,0.28,-0.0001,-0.01,0.03,0.00,2
70,Entry long,2025-07-18 07:00,NZDUSD_1100_LONG,0.59744,1,0.59744,0.002,0.28,0,0.002,0.28,-0.0001,-0.01,0.03,0.00,2
71,Exit long,2025-07-21 10:00,TIME_EXIT,0.59744,1,0.59713,0.0003,0.05,0,0.001,0.14,-0.001,-0.14,0.03,0.00,3
71,Entry long,2025-07-21 07:00,NZDUSD_1100_LONG,0.59713,1,0.59713,0.0003,0.05,0,0.001,0.14,-0.001,-0.14,0.03,0.00,3
72,Exit long,2025-07-23 08:00,TP_OR_SL,0.60346,1,0.60438,-0.001,-0.15,0,0.0002,0.04,-0.001,-0.15,0.03,0.00,1
72,Entry long,2025-07-23 07:00,NZDUSD_1100_LONG,0.60438,1,0.60438,-0.001,-0.15,0,0.0002,0.04,-0.001,-0.15,0.03,0.00,1
73,Exit long,2025-08-04 10:00,TIME_EXIT,0.59125,1,0.59206,-0.001,-0.14,0,0.001,0.17,-0.001,-0.17,0.03,0.00,3
73,Entry long,2025-08-04 07:00,NZDUSD_1100_LONG,0.59206,1,0.59206,-0.001,-0.14,0,0.001,0.17,-0.001,-0.17,0.03,0.00,3
74,Exit long,2025-08-06 10:00,TP_OR_SL,0.59233,1,0.59322,-0.001,-0.15,0,0.001,0.09,-0.001,-0.15,0.03,0.00,3
74,Entry long,2025-08-06 07:00,NZDUSD_1100_LONG,0.59322,1,0.59322,-0.001,-0.15,0,0.001,0.09,-0.001,-0.15,0.03,0.00,3
75,Exit long,2025-08-25 09:00,TP_OR_SL,0.58633,1,0.58726,-0.001,-0.16,0,0.0001,0.01,-0.001,-0.16,0.03,0.00,2
75,Entry long,2025-08-25 07:00,NZDUSD_1100_LONG,0.58726,1,0.58726,-0.001,-0.16,0,0.0001,0.01,-0.001,-0.16,0.03,0.00,2
76,Exit long,2025-08-28 09:00,TP_OR_SL,0.58656,1,0.58732,-0.001,-0.13,0,0.001,0.09,-0.001,-0.13,0.03,0.00,2
76,Entry long,2025-08-28 07:00,NZDUSD_1100_LONG,0.58732,1,0.58732,-0.001,-0.13,0,0.001,0.09,-0.001,-0.13,0.03,0.00,2
77,Exit long,2025-09-08 10:00,TIME_EXIT,0.59352,1,0.59372,-0.0002,-0.03,0,0.001,0.14,-0.001,-0.09,0.03,0.00,3
