Trade number,Type,Date and time,Signal,Price AUD,Size (qty),Size (value),Net PnL AUD,Return %,Commission AUD,Favorable excursion AUD,Favorable excursion %,Adverse excursion AUD,Adverse excursion %,Cumulative PnL AUD,Cumulative PnL %,Duration (bars)
57,Entry long,2023-10-04 07:00,EURAUD_1100_LONG,1.66124,1,1.66124,0.001,0.09,0,0.002,0.13,-0.002,-0.14,0.03,0.00,3
58,Exit long,2023-10-06 08:00,TP_OR_SL,1.65966,1,1.66168,-0.002,-0.12,0,0.002,0.13,-0.002,-0.12,0.03,0.00,1
58,Entry long,2023-10-06 07:00,EURAUD_1100_LONG,1.66168,1,1.66168,-0.002,-0.12,0,0.002,0.13,-0.002,-0.12,0.03,0.00,1
59,Exit long,2023-10-12 10:00,TP_OR_SL,1.66152,1,1.65771,0.004,0.23,0,0.004,0.23,-0.001,-0.06,0.03,0.00,3
59,Entry long,2023-10-12 07:00,EURAUD_1100_LONG,1.65771,1,1.65771,0.004,0.23,0,0.004,0.23,-0.001,-0.06,0.03,0.00,3
60,Exit long,2023-10-19 10:00,TIME_EXIT,1.67356,1,1.6727,0.001,0.05,0,0.001,0.08,-0.001,-0.07,0.03,0.00,3
60,Entry long,2023-10-19 07:00,EURAUD_1100_LONG,1.6727,1,1.6727,0.001,0.05,0,0.001,0.08,-0.001,-0.07,0.03,0.00,3
61,Exit long,2023-10-20 09:00,TP_OR_SL,1.67547,1,1.67756,-0.002,-0.12,0,0.001,0.03,-0.002,-0.12,0.03,0.00,2
61,Entry long,2023-10-20 07:00,EURAUD_1100_LONG,1.67756,1,1.67756,-0.002,-0.12,0,0.001,0.03,-0.002,-0.12,0.03,0.00,2
62,Exit long,2023-10-31 10:00,TIME_EXIT,1.67346,1,1.67434,-0.001,-0.05,0,0.001,0.05,-0.002,-0.11,0.03,0.00,3
62,Entry long,2023-10-31 07:00,EURAUD_1100_LONG,1.67434,1,1.67434,-0.001,-0.05,0,0.001,0.05,-0.002,-0.11,0.03,0.00,3
63,Exit long,2023-11-09 08:00,TP_OR_SL,1.66845,1,1.67048,-0.002,-0.12,0,0.001,0.05,-0.002,-0.12,0.03,0.00,2
63,Entry long,2023-11-09 06:00,EURAUD_1100_LONG,1.67048,1,1.67048,-0.002,-0.12,0,0.001,0.05,-0.002,-0.12,0.03,0.00,2
64,Exit long,2023-11-10 09:00,TIME_EXIT,1.6808,1,1.68111,-0.0003,-0.02,0,0.0004,0.02,-0.002,-0.11,0.03,0.00,3
64,Entry long,2023-11-10 06:00,EURAUD_1100_LONG,1.68111,1,1.68111,-0.0003,-0.02,0,0.0004,0.02,-0.002,-0.11,0.03,0.00,3
65,Exit long,2023-11-14 08:00,TP_OR_SL,1.68133,1,1.68311,-0.002,-0.11,0,0.001,0.06,-0.002,-0.11,0.02,0.00,2
