Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
77,Entry long,2024-11-25 01:00,EURJPY_0600_LONG,161.763,1,161.763,-0.37,-0.23,0,0.001,0.00,-0.37,-0.23,5.45,0.05,1
78,Exit long,2024-12-12 04:00,TIME_EXIT,160.31,1,160.326,-0.02,-0.01,0,0.22,0.14,-0.19,-0.12,5.43,0.05,3
78,Entry long,2024-12-12 01:00,EURJPY_0600_LONG,160.326,1,160.326,-0.02,-0.01,0,0.22,0.14,-0.19,-0.12,5.43,0.05,3
79,Exit long,2024-12-19 02:00,TP_OR_SL,162.971,1,162.122,0.85,0.52,0,0.85,0.52,-0.002,0.00,6.28,0.06,1
79,Entry long,2024-12-19 01:00,EURJPY_0600_LONG,162.122,1,162.122,0.85,0.52,0,0.85,0.52,-0.002,0.00,6.28,0.06,1
80,Exit long,2025-01-20 04:00,TIME_EXIT,161.069,1,161.048,0.02,0.01,0,0.13,0.08,-0.2,-0.12,6.3,0.06,3
80,Entry long,2025-01-20 01:00,EURJPY_0600_LONG,161.048,1,161.048,0.02,0.01,0,0.13,0.08,-0.2,-0.12,6.3,0.06,3
81,Exit long,2025-03-11 04:00,TP_OR_SL,160.621,1,159.845,0.78,0.49,0,0.78,0.49,-0.07,-0.04,7.08,0.07,2
81,Entry long,2025-03-11 02:00,EURJPY_0600_LONG,159.845,1,159.845,0.78,0.49,0,0.78,0.49,-0.07,-0.04,7.08,0.07,2
82,Exit long,2025-03-18 04:00,TP_OR_SL,164.006,1,163.536,0.47,0.29,0,0.47,0.29,-0.04,-0.03,7.55,0.08,2
82,Entry long,2025-03-18 02:00,EURJPY_0600_LONG,163.536,1,163.536,0.47,0.29,0,0.47,0.29,-0.04,-0.03,7.55,0.08,2
83,Exit long,2025-03-21 03:00,TP_OR_SL,161.794,1,162.048,-0.25,-0.16,0,0.09,0.06,-0.25,-0.16,7.29,0.07,1
83,Entry long,2025-03-21 02:00,EURJPY_0600_LONG,162.048,1,162.048,-0.25,-0.16,0,0.09,0.06,-0.25,-0.16,7.29,0.07,1
84,Exit long,2025-03-27 03:00,TP_OR_SL,161.736,1,162.024,-0.29,-0.18,0,0.08,0.05,-0.29,-0.18,7,0.07,1
84,Entry long,2025-03-27 02:00,EURJPY_0600_LONG,162.024,1,162.024,-0.29,-0.18,0,0.08,0.05,-0.29,-0.18,7,0.07,1
85,Exit long,2025-04-10 05:00,TIME_EXIT,161.478,1,161.508,-0.03,-0.02,0,0.23,0.14,-0.41,-0.26,6.97,0.07,3
85,Entry long,2025-04-10 02:00,EURJPY_0600_LONG,161.508,1,161.508,-0.03,-0.02,0,0.23,0.14,-0.41,-0.26,6.97,0.07,3
86,Exit long,2025-04-30 05:00,TIME_EXIT,162.534,1,162.332,0.2,0.12,0,0.32,0.20,-0.09,-0.06,7.18,0.07,3
