Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
74,Exit short,2026-07-21 08:00,TP_OR_SL,1.34008,1,1.34169,0.002,0.12,0,0.002,0.12,-0.0004,-0.03,0.01,0.00,3
74,Entry short,2026-07-21 06:30,GBPUSD_1030_SHORT,1.34169,1,1.34169,0.002,0.12,0,0.002,0.12,-0.0004,-0.03,0.01,0.00,3
75,Exit short,2026-07-21 08:00,TP_OR_SL,1.33921,1,1.3409,0.002,0.13,0,0.002,0.13,-0.001,-0.04,0.01,0.00,2
75,Entry short,2026-07-21 07:00,GBPUSD_1100_SHORT,1.3409,1,1.3409,0.002,0.13,0,0.002,0.13,-0.001,-0.04,0.01,0.00,2
76,Exit short,2026-07-23 07:30,TP_OR_SL,1.33426,1,1.33589,0.002,0.12,0,0.002,0.12,-0.00002,0.00,0.01,0.00,1
76,Entry short,2026-07-23 07:00,GBPUSD_1100_SHORT,1.33589,1,1.33589,0.002,0.12,0,0.002,0.12,-0.00002,0.00,0.01,0.00,1
77,Exit short,2026-07-27 10:00,TIME_EXIT,1.33061,1,1.33142,0.001,0.06,0,0.001,0.07,-0.001,-0.05,0.01,0.00,6
77,Entry short,2026-07-27 07:00,GBPUSD_1100_SHORT,1.33142,1,1.33142,0.001,0.06,0,0.001,0.07,-0.001,-0.05,0.01,0.00,6
78,Exit long,2026-08-05 08:30,TP_OR_SL,1.34674,1,1.34755,-0.001,-0.06,0,0.001,0.06,-0.001,-0.06,0.01,0.00,3
78,Entry long,2026-08-05 07:00,GBPUSD_1100_LONG,1.34755,1,1.34755,-0.001,-0.06,0,0.001,0.06,-0.001,-0.06,0.01,0.00,3
79,Exit long,2026-08-14 08:30,TP_OR_SL,1.35472,1,1.35348,0.001,0.09,0,0.001,0.09,-0.0002,-0.01,0.02,0.00,3
79,Entry long,2026-08-14 07:00,GBPUSD_1100_LONG,1.35348,1,1.35348,0.001,0.09,0,0.001,0.09,-0.0002,-0.01,0.02,0.00,3
