Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
69,Entry long,2023-10-11 10:00,BODY_EXTREME_LONG,149.136,0.67,99.92112,-0.11,-0.11,0,0.03,0.03,-0.11,-0.11,2.5,0.03,1
70,Exit long,2023-10-12 11:00,TP_OR_SL,149.76,0.66,98.63304,0.21,0.21,0,0.21,0.21,-0.04,-0.04,2.71,0.03,3
70,Entry long,2023-10-12 08:00,BODY_EXTREME_LONG,149.444,0.66,98.63304,0.21,0.21,0,0.21,0.21,-0.04,-0.04,2.71,0.03,3
71,Exit long,2023-10-16 11:00,TP_OR_SL,149.591,0.66,98.80992,-0.08,-0.08,0,0.03,0.03,-0.08,-0.08,2.63,0.03,2
71,Entry long,2023-10-16 09:00,BODY_EXTREME_LONG,149.712,0.66,98.80992,-0.08,-0.08,0,0.03,0.03,-0.08,-0.08,2.63,0.03,2
72,Exit long,2023-10-17 10:00,TP_OR_SL,149.602,0.66,98.84952,-0.11,-0.11,0,0.02,0.02,-0.11,-0.11,2.52,0.03,2
72,Entry long,2023-10-17 08:00,BODY_EXTREME_LONG,149.772,0.66,98.84952,-0.11,-0.11,0,0.02,0.02,-0.11,-0.11,2.52,0.03,2
73,Exit long,2023-10-19 11:00,TP_OR_SL,149.83,0.66,98.94984,-0.06,-0.06,0,0.01,0.01,-0.06,-0.06,2.45,0.02,1
73,Entry long,2023-10-19 10:00,BODY_EXTREME_LONG,149.924,0.66,98.94984,-0.06,-0.06,0,0.01,0.01,-0.06,-0.06,2.45,0.02,1
74,Exit long,2023-10-31 11:00,TP_OR_SL,151.412,0.66,99.61578,0.32,0.32,0,0.32,0.32,-0.08,-0.08,2.77,0.03,3
74,Entry long,2023-10-31 08:00,BODY_EXTREME_LONG,150.933,0.66,99.61578,0.32,0.32,0,0.32,0.32,-0.08,-0.08,2.77,0.03,3
75,Exit long,2023-11-07 10:00,TIME_EXIT,150.5,0.66,99.36432,-0.03,-0.03,0,0.09,0.09,-0.07,-0.07,2.74,0.03,3
75,Entry long,2023-11-07 07:00,BODY_EXTREME_LONG,150.552,0.66,99.36432,-0.03,-0.03,0,0.09,0.09,-0.07,-0.07,2.74,0.03,3
76,Exit long,2023-11-08 10:00,TIME_EXIT,150.85,0.66,99.58806,-0.03,-0.03,0,0.06,0.06,-0.06,-0.06,2.71,0.03,3
76,Entry long,2023-11-08 07:00,BODY_EXTREME_LONG,150.891,0.66,99.58806,-0.03,-0.03,0,0.06,0.06,-0.06,-0.06,2.71,0.03,3
77,Exit long,2023-11-10 12:00,TIME_EXIT,151.558,0.66,99.98604,0.04,0.04,0,0.06,0.06,-0.05,-0.05,2.75,0.03,3
77,Entry long,2023-11-10 09:00,BODY_EXTREME_LONG,151.494,0.66,99.98604,0.04,0.04,0,0.06,0.06,-0.05,-0.05,2.75,0.03,3
78,Exit long,2023-11-13 10:00,TP_OR_SL,151.787,0.65,98.7246,-0.06,-0.06,0,0,0.00,-0.06,-0.06,2.69,0.03,1
78,Entry long,2023-11-13 09:00,BODY_EXTREME_LONG,151.884,0.65,98.7246,-0.06,-0.06,0,0,0.00,-0.06,-0.06,2.69,0.03,1
79,Exit long,2023-11-23 10:00,TIME_EXIT,149.499,0.66,98.6304,0.04,0.04,0,0.17,0.17,-0.004,0.00,2.73,0.03,3
79,Entry long,2023-11-23 07:00,BODY_EXTREME_LONG,149.44,0.66,98.6304,0.04,0.04,0,0.17,0.17,-0.004,0.00,2.73,0.03,3
80,Exit long,2023-12-12 09:00,TP_OR_SL,145.349,0.68,99.04132,-0.2,-0.21,0,0.14,0.14,-0.2,-0.21,2.52,0.03,1
80,Entry long,2023-12-12 08:00,BODY_EXTREME_LONG,145.649,0.68,99.04132,-0.2,-0.21,0,0.14,0.14,-0.2,-0.21,2.52,0.03,1
81,Exit long,2023-12-18 12:00,TIME_EXIT,142.922,0.69,98.64723,-0.03,-0.03,0,0.13,0.13,-0.05,-0.05,2.49,0.02,3
81,Entry long,2023-12-18 09:00,BODY_EXTREME_LONG,142.967,0.69,98.64723,-0.03,-0.03,0,0.13,0.13,-0.05,-0.05,2.49,0.02,3
82,Exit long,2024-01-02 09:00,TP_OR_SL,141.853,0.7,99.4812,-0.18,-0.19,0,0.04,0.04,-0.18,-0.19,2.31,0.02,2
82,Entry long,2024-01-02 07:00,BODY_EXTREME_LONG,142.116,0.7,99.4812,-0.18,-0.19,0,0.04,0.04,-0.18,-0.19,2.31,0.02,2
